probe,X,Y,Z
1,7525,6912.5,5575
1,7487.5,6262.5,5450
1,7437.5,5525,5175
1,7337.5,4700,4825
1,7062.5,2162.5,4150
1,6950,1237.5,3825
2,7237.5,6912.5,5575
2,7175,6337.5,5425
2,7137.5,5675,5200
2,7062.5,4800,4875
2,6800,2312.5,4225
2,6712.5,1362.5,3850
3,7000,6912.5,5575
3,6912.5,6262.5,5325
3,6825,5550,5100
3,6812.5,4937.5,4875
3,6512.5,2437.5,4150
3,6412.5,1500,3850
4,6700,6962.5,5525
4,6637.5,6262.5,5225
4,6550,5387.5,5000
4,6462.5,4837.5,4750
4,6237.5,2712.5,4200
4,6137.5,1662.5,3900
5,6387.5,7000,5475
5,6325,6325,5225
5,6275,5662.5,5025
5,6187.5,5037.5,4825
5,6025,3775,4400
5,5825,1750,3875
6,6087.5,6987.5,5400
6,6050,6262.5,5150
6,5950,5625,4975
6,5887.5,5112.5,4750
6,5525,2412.5,3950
6,5512.5,1887.5,3850
7,5825,7000,5375
7,5762.5,6262.5,5075
7,5687.5,5637.5,4875
7,5587.5,5000,4650
7,5250,2575,3950
7,5200,1962.5,3775
8,5587.5,7062.5,5325
8,5525,6225,5050
8,5400,5287.5,4750
8,5112.5,3912.5,4250
8,4937.5,2562.5,3900
8,4925,2000,3800
