probe,X,Y,Z
1,7450,6612.5,5725
1,7475,6162.5,5600
1,7450,5687.5,5425
1,7337.5,4775,5125
1,7250,3100,4550
1,7125,1150,3975
2,7150,6625,5700
2,7162.5,6087.5,5625
2,7137.5,5575,5425
2,7050,4775,5125
2,7000,3175,4550
2,6812.5,1187.5,3975
3,6850,6612.5,5700
3,6862.5,6062.5,5550
3,6825,5550,5375
3,6762.5,4775,5075
3,6650,2987.5,4475
3,6550,1425,3975
4,6600,6662.5,5725
4,6587.5,6062.5,5525
4,6562.5,5525,5375
4,6487.5,4787.5,5020
4,6362.5,3062.5,4500
4,6250,1662.5,4075
5,6312.5,6725,5675
5,6312.5,6125,5450
5,6250,5462.5,5250
5,6200,4812.5,4950
5,5975,2337.5,4250
5,5912.5,1612.5,4000
6,6025,6775,5725
6,6000,6150,5475
6,5950,5462.5,5275
6,5887.5,4750,4975
6,5650,2387.5,4250
6,5600,1337.5,3925
7,5737.5,6825,5700
7,5712.5,6150,5450
7,5675,5437.5,5200
7,5575,4775,4925
7,5325,2137.5,4125
7,5287.5,1437.5,3950
8,5450,6850,5675
8,5450,6100,5375
8,5375,5487.5,5150
8,5275,4775,4875
8,5050,2875,4275
8,4950,1562.5,3950
