probe,X,Y,Z
1,7576.5625,6776.5625,5481.25
1,7557.8125,6173.4375,5440.625
1,7507.8125,5614.0625,5334.375
1,7379.6875,4667.1875,5153.125
1,7226.5625,2959.375,4796.875
1,7109.375,1270.3125,4500
2,7293.75,6860.9375,5462.5
2,7259.375,6220.3125,5415.625
2,7198.4375,5618.75,5331.25
2,7090.625,4710.9375,5165.625
2,6950,3043.75,4796.875
2,6801.5625,1320.3125,4506.25
3,7023.4375,6875,5462.5
3,6982.8125,6201.5625,5362.5
3,6904.6875,5573.4375,5278.125
3,6807.8125,4754.6875,5146.875
3,6629.6875,3018.75,4768.75
3,6520.3125,1560.9375,4506.25
4,6746.875,6906.25,5478.125
4,6703.125,6196.875,5328.125
4,6629.6875,5551.5625,5253.125
4,6504.6875,4753.125,5104.375
4,6345.3125,3139.0625,4790.625
4,6221.875,1620.3125,4556.25
5,6457.8125,6887.5,5418.75
5,6404.6875,6250,5271.875
5,6340.625,5601.5625,5231.25
5,6229.6875,4821.875,5106.25
5,6057.8125,3175,4746.875
5,5895.3125,1637.5,4521.875
6,6148.4375,6860.9375,5409.375
6,6110.9375,6248.4375,5253.125
6,6043.75,5596.875,5181.25
6,5943.75,4817.1875,5059.375
6,5707.8125,2895.3125,4634.375
6,5587.5,1587.5,4487.5
7,5890.625,6878.125,5328.125
7,5837.5,6253.125,5159.375
7,5776.5625,5595.3125,5053.125
7,5653.125,4798.4375,4931.25
7,5428.125,2837.5,4512.5
7,5298.4375,1718.75,4421.875
8,5625,6851.5625,5296.875
8,5590.625,6220.3125,5125
8,5493.75,5545.3125,4993.75
8,5328.125,4526.5625,4784.375
8,5129.6875,3054.6875,4546.875
8,5000,1817.1875,4409.375
